FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
1,2010-06-04,Falcon 9,2000.0,LEO,Unknown,None None,1,False,False,False,,1,0,CORE-006,,
2,2012-05-22,Falcon 9,500.0,LEO,Unknown,None None,1,False,False,False,,1,0,CORE-008,,
3,2013-03-01,Falcon 9,2000.0,LEO,Unknown,None None,1,False,False,False,,1,0,CORE-010,,
4,2013-09-29,Falcon 9,2000.0,LEO,KSC LC 39A,False Ocean,1,False,False,False,,1,0,CORE-011,-80.62,28.61
5,2013-12-03,Falcon 9,2000.0,LEO,Unknown,None None,1,False,False,False,,1,0,CORE-012,,
6,2014-01-06,Falcon 9,2000.0,LEO,Unknown,None None,1,False,False,False,,1,0,CORE-013,,
7,2014-04-18,Falcon 9,2000.0,LEO,Unknown,True Ocean,1,False,False,True,,1,0,CORE-014,,
8,2014-07-14,Falcon 9,2000.0,LEO,Unknown,True Ocean,1,False,False,True,,1,0,CORE-015,,
9,2014-08-05,Falcon 9,2000.0,LEO,Unknown,None None,1,False,False,False,,1,0,CORE-016,,
10,2014-09-07,Falcon 9,2000.0,LEO,Unknown,None None,1,False,False,False,,1,0,CORE-017,,
11,2014-09-21,Falcon 9,2000.0,LEO,Unknown,False Ocean,1,False,False,False,,1,0,CORE-018,,
12,2015-01-10,Falcon 9,2000.0,LEO,Unknown,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1,0,CORE-019,,
13,2015-02-11,Falcon 9,2000.0,LEO,Unknown,True Ocean,1,True,False,True,,1,0,CORE-020,,
14,2015-04-14,Falcon 9,5000.0,LEO,Unknown,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1,0,CORE-022,,
15,2015-04-27,Falcon 9,5000.0,LEO,Unknown,None None,1,False,False,False,,1,0,CORE-023,,
16,2015-06-28,Falcon 9,5000.0,LEO,Unknown,None None,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-024,,
17,2015-12-22,Falcon 9,5000.0,LEO,Unknown,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,CORE-025,,
18,2016-01-17,Falcon 9,5000.0,LEO,KSC LC 39A,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1,0,CORE-026,-80.62,28.61
19,2016-03-04,Falcon 9,5000.0,LEO,Unknown,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-027,,
20,2016-04-08,Falcon 9,5000.0,LEO,Unknown,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-028,,
21,2016-05-06,Falcon 9,5000.0,LEO,Unknown,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-029,,
22,2016-05-27,Falcon 9,5000.0,LEO,Unknown,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-030,,
23,2016-07-18,Falcon 9,5000.0,LEO,Unknown,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,CORE-032,,
24,2016-08-14,Falcon 9,5000.0,LEO,Unknown,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-033,,
